number_of_selling_properties,city
6542,"Novi Sad"
6071,Beograd
1129,Subotica
972,Niš
765,Zlatibor
339,Zrenjanin
284,Kragujevac
254,Sombor
184,Jagodina
144,"Vrnjačka Banja"
141,Pančevo
96,Šabac
82,Inđija
61,Užice
55,Kopaonik
54,"Smederevska Palanka"
53,Beočin
47,Valjevo
43,Leskovac
39,"Bačka Topola"
36,Irig
35,Ruma
33,"Sremski Karlovci"
33,"Stara Pazova"
29,Srbobran
28,"Bačka Palanka"
28,Smederevo
27,"Sremska Mitrovica"
26,Šid
22,Temerin
17,Vrbas
14,"Kosovska Mitrovica"
14,Žabalj
12,Ub
12,Vranje
11,Aleksinac
10,Titel
9,Kruševac
8,Čačak
8,Čajetina
8,Kraljevo
7,Vršac
7,Sokobanja
6,"Bački Petrovac"
6,Topola
5,Apatin
5,Merošina
4,Loznica
4,Pećinci
4,Kovačica
3,Vladimirci
3,Ćuprija
3,Čoka
3,Batočina
3,Paraćin
3,"Velika Plana"
3,Doljevac
2,Aranđelovac
2,Bečej
2,"Bajina Bašta"
2,Požarevac
2,"Gornji Milanovac"
2,"Gadžin Han"
2,"Vladičin Han"
2,Bujanovac
2,Svilajnac
2,Kikinda
2,"Novi Bečej"
1,Bor
1,Kula
1,Dragaš
1,Ljig
1,Kuršumlija
1,"Bela Palanka"
1,Prijepolje
1,Alibunar
1,Kanjiža
1,Lapovo
1,Knić
1,Bogatić
1,Trgovište
1,Požega
1,Knjaževac
1,"Mali Zvornik"
1,Odžaci
1,Zaječar
1,Trstenik
1,Tara
1,"Nova Varoš"
1,Kovin
1,Prokuplje
