id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
17462,187000,https://www.4zida.rs/prodaja/kuce/backa-palanka/oglas/gradske-lokacije/5fb63bf9376a6713f42e4bac,prodaja,kuce,"Bačka Palanka","Bačka Palanka",1,25288,NULL,NULL,1,NULL,0,0,0,1,0
17360,99900,https://www.4zida.rs/prodaja/kuce/backa-palanka/oglas/gradske-lokacije/5f96bcea2f05c57b5b35a687,prodaja,kuce,"Bačka Palanka","Bačka Palanka",4,11206,NULL,NULL,1,1998,0,1,0,1,0
23348,206000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/cenej/61ca096d6f91b27336519f73,prodaja,kuce,"Novi Sad","Okolne lokacije",10,6820,"grejanje na gas",NULL,1,NULL,0,0,68,0,0
16789,206000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/cenej/61ca096d6f91b27336519f73,prodaja,kuce,"Novi Sad","Okolne lokacije",10,6820,"grejanje na gas",NULL,1,NULL,0,0,68,0,0
23140,370000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/ribnjak/5ee9c91227317154093231bc,prodaja,kuce,"Novi Sad",Petrovaradin,3,6575,NULL,NULL,1,NULL,0,0,0,1,0
3809,36000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/glavica/5ee9c94e27317154093231e3,prodaja,kuce,"Novi Sad","Sremska Kamenica",3,4441,NULL,NULL,1,NULL,0,0,0,0,0
23131,36000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/glavica/5ee9c94e27317154093231e3,prodaja,kuce,"Novi Sad","Sremska Kamenica",3,4441,NULL,NULL,1,NULL,0,0,0,0,0
12148,196000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/laze-kostica/6159e5012eaec2228c2643e8,prodaja,kuce,"Novi Sad","Okolne lokacije",7,3585,"grejanje na gas",NULL,1,1900,0,1,2600,1,1
23182,53500,https://www.4zida.rs/prodaja/kuce/irig/oglas/gradske-lokacije/61dd67fffe80cf634f3af853,prodaja,kuce,Irig,Irig,3,3272,NULL,NULL,1,1990,0,0,0,1,0
13080,130000,https://www.4zida.rs/prodaja/kuce/backa-palanka/oglas/vr-putnika/5caa3ba59a309141ec6d3863,prodaja,kuce,"Bačka Palanka","Okolne lokacije",5,3200,"etažno grejanje",NULL,1,1989,0,1,3200,1,1
