id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
20324,7400,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cara-nikolaja-ii/6036076938c97859b64850ce,izdavanje,stanovi,Beograd,Vračar,5,370,"etažno grejanje",NULL,1,2020,0,1,0,0,1
20317,4000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cara-nikolaja-ii/6032137fe03d2e17c43d6c5e,izdavanje,stanovi,Beograd,Vračar,5,200,NULL,NULL,4,2020,0,1,0,0,1
22036,3500,https://www.4zida.rs/izdavanje/kuce/novi-sad/oglas/kamenjar/61d49351aa70c12b0f5aad43,izdavanje,kuce,"Novi Sad","Gradske lokacije",4,140,NULL,NULL,1,2020,0,1,95.69,0,1
20315,3400,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cara-nikolaja-ii/6032137ce03d2e17c43d6c5a,izdavanje,stanovi,Beograd,Vračar,4,170,"etažno grejanje",NULL,2,2020,0,1,0,0,1
18140,3000,https://www.4zida.rs/izdavanje/kuce/beograd/oglas/kalvarija/61795dfa49716e185d28e108,izdavanje,kuce,Beograd,Zemun,18,900,NULL,NULL,6,2020,0,1,0,0,1
20319,2800,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cara-nikolaja-ii/6036076038c97859b64850c2,izdavanje,stanovi,Beograd,Vračar,4,140,"etažno grejanje",NULL,2,2020,0,1,0,0,1
20322,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cara-nikolaja-ii/6036076438c97859b64850c6,izdavanje,stanovi,Beograd,Vračar,4,125,NULL,NULL,2,2020,0,1,0,0,1
18358,2000,https://www.4zida.rs/izdavanje/kuce/beograd/oglas/veliko-selo/6036956e875d4e04881a8f83,izdavanje,kuce,Beograd,"Palilula opština",12,950,NULL,NULL,4,2020,0,1,10,0,0
20320,2000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cara-nikolaja-ii/6032136ee03d2e17c43d6c46,izdavanje,stanovi,Beograd,Vračar,3,100,NULL,NULL,2,2020,0,1,0,0,0
6046,1800,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/5f15610d49b867395d17f14f,izdavanje,stanovi,Beograd,"Savski Venac",3,88,"centralno grejanje",NULL,1,2020,1,1,0,0,0
7068,1799,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/61eaae895936783bc212c8f9,izdavanje,stanovi,Beograd,"Savski Venac",4,115,"centralno grejanje",NULL,1,2020,1,1,0,0,1
20772,1799,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/61eaae895936783bc212c8f9,izdavanje,stanovi,Beograd,"Savski Venac",4,115,"centralno grejanje",NULL,1,2020,1,1,0,0,1
20393,1550,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/vudroa-vilsona/61ef6eebc9fd542b1c374d30,izdavanje,stanovi,Beograd,"Savski Venac",3,83,"centralno grejanje",NULL,1,2020,1,1,0,0,0
14911,1550,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/vudroa-vilsona/61ef6eebc9fd542b1c374d30,izdavanje,stanovi,Beograd,"Savski Venac",3,83,"centralno grejanje",NULL,1,2020,1,1,0,0,0
20786,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/61eab456f7057961de058eb8,izdavanje,stanovi,Beograd,"Savski Venac",3,88,"centralno grejanje",NULL,2,2020,1,1,0,0,1
20743,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/61eae054de6a8c2a601a1bd3,izdavanje,stanovi,Beograd,"Savski Venac",3,88,"centralno grejanje",NULL,2,2020,1,1,0,0,0
16421,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/61eab456f7057961de058eb8,izdavanje,stanovi,Beograd,"Savski Venac",3,88,"centralno grejanje",NULL,2,2020,1,1,0,0,1
16425,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/61eae054de6a8c2a601a1bd3,izdavanje,stanovi,Beograd,"Savski Venac",3,88,"centralno grejanje",NULL,2,2020,1,1,0,0,0
20785,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/61eab455f7057961de058eb3,izdavanje,stanovi,Beograd,"Savski Venac",2,67,"centralno grejanje",NULL,1,2020,1,1,0,0,1
16424,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/61eab455f7057961de058eb3,izdavanje,stanovi,Beograd,"Savski Venac",2,67,"centralno grejanje",NULL,1,2020,1,1,0,0,1
73,1000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/61a9ca84d0110e696e126114,izdavanje,stanovi,Beograd,"Savski Venac",2,57,"centralno grejanje",NULL,1,2020,1,1,0,0,1
30,900,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/beograd-na-vodi/601c1b7d33a6c97200461083,izdavanje,stanovi,Beograd,"Savski Venac",2,58,NULL,NULL,1,2020,0,0,0,0,0
20548,700,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/telep/5f06f8bb4f9fcf146a0671a3,izdavanje,stanovi,"Novi Sad","Gradske lokacije",4,96,"centralno grejanje",NULL,2,2020,1,1,0,0,0
8388,700,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/telep/5f06f8bb4f9fcf146a0671a3,izdavanje,stanovi,"Novi Sad","Gradske lokacije",4,96,"centralno grejanje",NULL,2,2020,1,1,0,0,0
22145,500,https://www.4zida.rs/izdavanje/stanovi/zrenjanin/oglas/jug-bogdana/61c434f8b685d8036914c183,izdavanje,stanovi,Zrenjanin,"Gradske lokacije",3,74,NULL,NULL,1,2020,0,0,0,0,0
5895,420,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/cirila-i-metodija/61dda27c307c0f5830410acd,izdavanje,stanovi,"Novi Sad",Liman,2,40,"podno grejanje",NULL,1,2020,1,1,0,0,1
21810,420,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/cirila-i-metodija/61dda27c307c0f5830410acd,izdavanje,stanovi,"Novi Sad",Liman,2,40,"podno grejanje",NULL,1,2020,1,1,0,0,1
12182,400,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/jovana-ristica/61eefc280ca37069575124b2,izdavanje,stanovi,Niš,Medijana,2.5,66,"etažno grejanje",NULL,1,2020,1,1,0,0,0
20416,400,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/jovana-ristica/61eefc280ca37069575124b2,izdavanje,stanovi,Niš,Medijana,2.5,66,"etažno grejanje",NULL,1,2020,1,1,0,0,0
21401,400,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/mehmeda-sokolovica/61e2d2caae60b64e6554eaa0,izdavanje,stanovi,Beograd,"Zvezdara opština",2,49,"etažno grejanje",NULL,1,2020,1,0,0,0,0
5674,400,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/rumenacka/60201278aa5e701b57662041,izdavanje,stanovi,"Novi Sad",Detelinara,2,45,"centralno grejanje",NULL,1,2020,1,1,0,0,0
12682,370,https://www.4zida.rs/izdavanje/stanovi/kragujevac/oglas/centar/618e73973c426a151c1ce0ec,izdavanje,stanovi,Kragujevac,"Gradske lokacije",2.5,57,"centralno grejanje",NULL,1,2020,0,0,0,0,0
93,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/nova-detelinara/61dd78c619586b5389291a93,izdavanje,stanovi,"Novi Sad",Detelinara,1.5,32,"grejanje na gas",NULL,1,2020,0,0,0,0,0
8358,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/mostarska/6040b049f3010a05545b5215,izdavanje,stanovi,"Novi Sad","Gradske lokacije",1.5,36,"grejanje na gas",NULL,1,2020,1,1,0,0,0
8352,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/telep/606f1a65d3ec677e0d5e7a83,izdavanje,stanovi,"Novi Sad","Gradske lokacije",1.5,38,"grejanje na gas",NULL,1,2020,1,1,0,0,0
21121,300,https://www.4zida.rs/izdavanje/stanovi/subotica/oglas/kireska/61e6f8e74c04ef680e19aea9,izdavanje,stanovi,Subotica,"Gradske lokacije",3,68,"grejanje na gas",NULL,1,2020,0,0,0,0,1
