id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
3046,1380000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/senjak/6021b3bbadf8ef730a148218,prodaja,stanovi,Beograd,"Savski Venac",4,350,"centralno grejanje",NULL,1,2020,1,1,0,1,0
3047,1380000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/senjak/6021c183d1de6655453313f3,prodaja,stanovi,Beograd,"Savski Venac",4,290,"centralno grejanje",NULL,1,2020,1,1,0,1,0
18624,816400,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/senjak/613f53d2f356dd07cf74ae98,prodaja,stanovi,Beograd,"Savski Venac",4,152,NULL,NULL,3,2020,1,1,0,1,0
13678,618000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/puckaros/61c0d892820ec075af777131,prodaja,kuce,"Novi Sad",Petrovaradin,4,270,"podno grejanje",NULL,3,2020,0,1,0,1,0
24019,618000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/puckaros/61c0d892820ec075af777131,prodaja,kuce,"Novi Sad",Petrovaradin,4,270,"podno grejanje",NULL,3,2020,0,1,0,1,0
3404,550000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/neznanog-junaka/6051147a26667136b4600e03,prodaja,stanovi,Beograd,"Savski Venac",4,138,"podno grejanje",NULL,1,2020,1,1,0,1,0
1813,490000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kneginje-zorke/5f7897e33f25ef61c967bc17,prodaja,stanovi,Beograd,Vračar,4,170,"centralno grejanje",NULL,1,2020,1,1,0,1,1
3098,451000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dedinje/605c9eaf71e5ac6b8f603c13,prodaja,stanovi,Beograd,"Savski Venac",4,209,NULL,NULL,1,2020,1,1,0,1,0
18449,451000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dedinje/605c9eaf71e5ac6b8f603c13,prodaja,stanovi,Beograd,"Savski Venac",4,209,NULL,NULL,1,2020,1,1,0,1,0
1845,445000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/jove-ilica/6113e78ae2034127ed2c6b43,prodaja,stanovi,Beograd,Voždovac,4,135,NULL,NULL,2,2020,0,0,0,1,0
3008,415000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/tadije-sondermajera/6192a6513859d879a1206a23,prodaja,stanovi,Beograd,"Novi Beograd",4,106,"centralno grejanje",NULL,1,2020,1,1,0,1,1
3078,415000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/blok-65/61ce45e7afaa8b073a42f99c,prodaja,stanovi,Beograd,"Novi Beograd",3.5,106,NULL,NULL,1,2020,1,1,0,0,0
13825,385000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/petefi-sandora/60a966425741905f6841329f,prodaja,kuce,"Novi Sad",Telep,5,250,"podno grejanje",NULL,1,2020,0,1,395,1,1
16806,370800,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/veternicka-rampa/61ae1ea4e2f60c00956a0823,prodaja,kuce,"Novi Sad",Veternik,5,200,"centralno grejanje",NULL,1,2020,0,1,5,1,1
16796,360500,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/adice/6155f3b273bc8c062048aaf8,prodaja,kuce,"Novi Sad","Gradske lokacije",4,200,"grejanje na gas",NULL,1,2020,0,1,7.63,1,1
19296,351000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/cara-urosa/5ed8d82a0c7cde14dd0daf89,prodaja,stanovi,Beograd,Dorćol,4,117,"podno grejanje",NULL,1,2020,1,1,0,1,0
12076,350000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bilecka/5f024b492731715f107b2173,prodaja,stanovi,Beograd,Voždovac,4,112,"grejanje na struju",NULL,1,2020,1,1,0,1,0
3378,345600,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/cernisevskog/6132677fb25cdd0f9f76ff83,prodaja,stanovi,Beograd,Vračar,3,128,"centralno grejanje",NULL,1,2020,1,1,0,0,0
10556,337500,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/prokop/6095116b2376090f5a23e9a2,prodaja,stanovi,Beograd,"Savski Venac",4,132,NULL,NULL,1,2020,0,1,0,0,1
10581,331000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/prokop/609511782376090f5a23e9b3,prodaja,stanovi,Beograd,"Savski Venac",4,131,NULL,NULL,1,2020,0,1,0,0,1
9603,329600,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/novo-naselje/61b8d22a45b1e06cd872f963,prodaja,kuce,"Novi Sad","Gradske lokacije",5,500,"grejanje na gas",NULL,1,2020,0,0,0,1,0
13507,317200,https://www.4zida.rs/prodaja/stanovi/kopaonik/oglas/gradske-lokacije/6156d48bb5901d4adb236f13,prodaja,stanovi,Kopaonik,Kopaonik,1.5,198,"grejanje na struju",NULL,1,2020,0,1,0,0,1
14041,309000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-evrope/609e851b5034bf07a44f33b3,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,190,"grejanje na gas",NULL,1,2020,0,1,0,0,0
3355,308750,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/admirala-vukovica/61e713b9a3d6c336535c25cf,prodaja,stanovi,Beograd,"Voždovac opština",3,136,"etažno grejanje",NULL,1,2020,1,1,0,1,0
13843,299000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/olge-ilic/6112b7ee2187815cec3c261f,prodaja,kuce,"Novi Sad",Veternik,8,350,"centralno grejanje",NULL,3,2020,0,1,589,1,1
19519,277200,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-stepe/5e45d50b27317163042436b3,prodaja,stanovi,Beograd,"Voždovac opština",4,126,"centralno grejanje",NULL,2,2020,1,0,0,0,0
19520,272800,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-stepe/5e45d51527317163042436b7,prodaja,stanovi,Beograd,"Voždovac opština",4,124,"centralno grejanje",NULL,2,2020,1,0,0,0,0
2896,270000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/tetovska/60e32473d12d8d77c55bc722,prodaja,stanovi,Beograd,"Voždovac opština",4,126,"etažno grejanje",NULL,1,2020,1,1,0,0,1
13527,262000,https://www.4zida.rs/prodaja/stanovi/kopaonik/oglas/milorada-milosevica-brevinca/61e8560d0bd78f401142668a,prodaja,stanovi,Kopaonik,"Gradske lokacije",1,36,"podno grejanje",NULL,1,2020,0,1,0,0,0
