id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
23926,1030000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/veternicka-rampa/61f00ba2b42dde623b076004,prodaja,kuce,"Novi Sad",Veternik,7,437,"grejanje na gas",NULL,3,NULL,0,1,36000,1,0
5441,268830,https://www.4zida.rs/prodaja/kuce/sombor/oglas/gradske-lokacije/60dadc9cbbbd9e76370a81d8,prodaja,kuce,Sombor,Sombor,5,134,NULL,NULL,1,NULL,0,0,17922,0,0
7381,206500,https://www.4zida.rs/prodaja/kuce/subotica/oglas/palic/605a1032896b64745d618d53,prodaja,kuce,Subotica,"Okolne lokacije",3,99,NULL,NULL,1,NULL,0,0,16520,0,0
862,463500,https://www.4zida.rs/prodaja/kuce/titel/oglas/gradske-lokacije/60e3126b87fc3723a90f4362,prodaja,kuce,Titel,Titel,6,724,NULL,NULL,1,NULL,0,0,11518,1,0
18313,15,https://www.4zida.rs/izdavanje/kuce/fruska-gora/oglas/sunnyside-fruska-gora/5f60ad3a9a3091533b7e6a12,izdavanje,kuce,"Fruška Gora","Fruška Gora",2,60,NULL,NULL,1,NULL,0,1,9200,0,1
8657,42000,https://www.4zida.rs/prodaja/kuce/sombor/oglas/goge/60e08d5afe880e56f066705f,prodaja,kuce,Sombor,"Okolne lokacije",3,90,"kaljeva peć",NULL,1,1980,0,1,6502,1,0
6632,115000,https://www.4zida.rs/prodaja/kuce/subotica/oglas/zorka/5fea3a05eb92e37a8215e0e9,prodaja,kuce,Subotica,"Gradske lokacije",6,240,NULL,NULL,2,NULL,0,0,5600,0,0
9241,33000,https://www.4zida.rs/prodaja/kuce/titel/oglas/vilovo/5e4040c29a30912c9c60f98c,prodaja,kuce,Titel,"Okolne lokacije",4,800,"grejanje na gas",NULL,1,2011,0,1,5000,1,0
17002,412000,https://www.4zida.rs/prodaja/kuce/irig/oglas/gradske-lokacije/5f5fa8006570a64734108905,prodaja,kuce,Irig,Irig,7,360,NULL,NULL,1,NULL,0,1,4500,1,0
883,432600,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/karagaca/619656bd820d17666f1f56c9,prodaja,kuce,"Novi Sad",Petrovaradin,5,156,"grejanje na gas",NULL,2,NULL,0,1,4171,1,0
17298,495000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/petrovaradin/5c0c294c273171452e58ac7f,prodaja,kuce,"Novi Sad","Gradske lokacije",5,755,NULL,NULL,1,NULL,0,1,4100,1,0
6636,18000,https://www.4zida.rs/prodaja/kuce/subotica/oglas/sutjeska/60e1b0b41d7dda04030a3628,prodaja,kuce,Subotica,Zorka,1,60,NULL,NULL,1,2010,0,1,3864,1,0
901,290000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/karagaca/60eef56c9ebf1202236dc024,prodaja,kuce,"Novi Sad",Petrovaradin,8,270,NULL,NULL,1,NULL,0,0,3665,1,0
13999,1030000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/veternicka-rampa/6199415a79a6d11d4840c88b,prodaja,kuce,"Novi Sad",Veternik,6,437,"centralno grejanje",NULL,1,NULL,0,1,3600,1,1
6638,40000,https://www.4zida.rs/prodaja/kuce/subotica/oglas/srpski-sor/5fea3a26eb92e37a8215e143,prodaja,kuce,Subotica,Zorka,3,79,NULL,NULL,1,NULL,0,0,3277,0,0
23250,69000,https://www.4zida.rs/prodaja/kuce/beograd/oglas/barajevo/61dd3697d3fb5115b83456fa,prodaja,kuce,Beograd,"Barajevo opština",3,75,NULL,NULL,1,1985,0,0,3243,0,0
13080,130000,https://www.4zida.rs/prodaja/kuce/backa-palanka/oglas/vr-putnika/5caa3ba59a309141ec6d3863,prodaja,kuce,"Bačka Palanka","Okolne lokacije",5,3200,"etažno grejanje",NULL,1,1989,0,1,3200,1,1
18410,100,https://www.4zida.rs/izdavanje/kuce/beograd/oglas/vila-kosmaj-najam-na-dan/5fa476d10c7cde2aff2614e5,izdavanje,kuce,Beograd,"Mladenovac opština",4,150,"etažno grejanje",NULL,1,NULL,0,1,3000,0,1
9244,40000,https://www.4zida.rs/prodaja/kuce/titel/oglas/stevana-nikoletica/5ad4b96fadb1145f10249bf1,prodaja,kuce,Titel,"Okolne lokacije",3,120,"TA peć",NULL,1,1900,0,1,3000,1,0
13867,206000,https://www.4zida.rs/prodaja/kuce/vrbas/oglas/gradske-lokacije/5bf9454f2731713669463939,prodaja,kuce,Vrbas,Vrbas,5,150,NULL,NULL,1,NULL,0,0,3000,1,0
6748,55000,https://www.4zida.rs/prodaja/kuce/subotica/oglas/makova-sedmica/612757bcdbbaba48fe197ad3,prodaja,kuce,Subotica,"Gradske lokacije",4,178,NULL,NULL,2,NULL,0,0,2953,0,0
22322,63000,https://www.4zida.rs/prodaja/kuce/indjija/oglas/novi-karlovci/5af57beeadb114398521c011,prodaja,kuce,Inđija,"Okolne lokacije",4,250,"grejanje na gas",NULL,1,NULL,0,1,2906,1,0
23859,636540,https://www.4zida.rs/prodaja/kuce/irig/oglas/velika-remeta/61eac68d6fc3d33ad932b613,prodaja,kuce,Irig,"Okolne lokacije",3,246,"podno grejanje",NULL,4,NULL,0,1,2631,1,1
12148,196000,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/laze-kostica/6159e5012eaec2228c2643e8,prodaja,kuce,"Novi Sad","Okolne lokacije",7,3585,"grejanje na gas",NULL,1,1900,0,1,2600,1,1
7748,25000,https://www.4zida.rs/prodaja/kuce/subotica/oglas/bajmok/5f94616b0c7cde2f460bfdc3,prodaja,kuce,Subotica,"Okolne lokacije",4,140,"etažno grejanje",NULL,1,1986,0,0,2554,1,0
23530,19000,https://www.4zida.rs/prodaja/kuce/sremski-karlovci/oglas/gradske-lokacije/61cc2e3732f12a0cee1ed393,prodaja,kuce,"Sremski Karlovci","Sremski Karlovci",1,23,NULL,NULL,1,NULL,0,0,2532,0,0
23451,123600,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/sajlovo/5d9c56712731713e6640a6af,prodaja,kuce,"Novi Sad","Gradske lokacije",3,150,NULL,NULL,1,NULL,0,0,2500,1,1
