id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
4487,100090,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/klisa-vikend-naselje/61c31ddd91d1e71ab71279fb,prodaja,stanovi,"Novi Sad","Okolne lokacije",4,479212,"centralno grejanje",NULL,1,2021,0,1,0,1,0
4906,95180,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/podbara/613f507bcd81b779d3192021,prodaja,stanovi,"Novi Sad","Gradske lokacije",2.5,95180,NULL,NULL,1,NULL,0,0,0,1,0
12103,298000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/veljka-milicevica/60993e8f7906cd3a4c6833dc,prodaja,stanovi,Beograd,"Voždovac opština",5,1643,"centralno grejanje",NULL,1,NULL,1,1,0,1,0
10215,204480,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/filipa-visnjica/61be17492d1863712a3d9666,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,1065,"centralno grejanje",NULL,1,NULL,1,1,0,1,1
13685,1170000,https://www.4zida.rs/prodaja/stanovi/kopaonik/oglas/gradske-lokacije/5dce99aa27317121d13ea665,prodaja,stanovi,Kopaonik,Kopaonik,4,970,"centralno grejanje",NULL,1,NULL,0,1,0,1,1
11221,1000000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-stepe/5f01ea0e273171713a54f373,prodaja,stanovi,Beograd,"Voždovac opština",5,640,"etažno grejanje",NULL,1,2014,1,1,0,1,0
3139,150000,https://www.4zida.rs/prodaja/stanovi/zrenjanin/oglas/zitni-trg/60a3803d2e30b35ed3498a18,prodaja,stanovi,Zrenjanin,"Gradske lokacije",8,602,NULL,NULL,2,NULL,0,0,0,0,0
18428,725000,https://www.4zida.rs/prodaja/stanovi/subotica/oglas/centar-1/61e842461329795556329703,prodaja,stanovi,Subotica,"Gradske lokacije",5.5,600,NULL,NULL,4,1906,0,1,0,0,0
15707,180000,https://www.4zida.rs/prodaja/stanovi/nis/oglas/somborska/5f8eaad485be5c710271cce6,prodaja,stanovi,Niš,"Gradske lokacije",5,450,"etažno grejanje",NULL,4,NULL,0,1,0,0,0
15933,180000,https://www.4zida.rs/prodaja/stanovi/nis/oglas/somborska/5f12f2639e39663e8420b9b3,prodaja,stanovi,Niš,"Gradske lokacije",5,450,"etažno grejanje",NULL,4,NULL,0,1,0,0,0
3501,990000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/mutapova/5f22b77a62e9ec3f60701ba3,prodaja,stanovi,Beograd,Neimar,4,437,NULL,NULL,1,2017,0,1,0,1,0
3500,1550000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/mutapova/61b3a8cdad221b44b80aad9a,prodaja,stanovi,Beograd,Neimar,4,405,"etažno grejanje",NULL,1,2014,1,1,0,1,0
3516,1550000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/mutapova/60b0dab8372a4815ef6c6243,prodaja,stanovi,Beograd,Neimar,4,405,"etažno grejanje",NULL,4,NULL,1,1,0,1,1
6985,7400,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hram-svetog-save/613b91a623d8735a292a9fe5,izdavanje,stanovi,Beograd,Neimar,5,400,"centralno grejanje",NULL,1,NULL,1,1,0,0,0
8402,4000,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/bulevar-oslobodjenja/603d2d42c342b23c492643d3,izdavanje,stanovi,"Novi Sad","Gradske lokacije",6,397,"centralno grejanje",NULL,3,NULL,1,1,0,0,1
6984,3200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/autokomanda/5f1211490c7cde7234307316,izdavanje,stanovi,Beograd,"Voždovac opština",5,380,"centralno grejanje",NULL,3,NULL,1,1,0,0,0
