id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking,state
27242,6000000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/mice-orlovica/6137ecc200afc268d27d78a9,prodaja,kuce,Beograd,Savski Venac,5.0,900.0,etažno grejanje,,1,,0,1,0.0,0,0,
1751,5500000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/dedinje/58b7d4c67ce3af116c5306b5,prodaja,kuce,Beograd,Savski Venac,5.0,1150.0,grejanje na gas,,5,1995.0,0,1,27.0,0,0,
1750,5500000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/iliciceva/58fe38157ce3af3ef842aa3a,prodaja,kuce,Beograd,Savski Venac,1.0,1150.0,,,1,,0,0,0.0,0,0,
1759,5200000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/dedinje/60b113348fcd81551e025ef3,prodaja,kuce,Beograd,Savski Venac,10.0,1000.0,etažno grejanje,,1,,0,1,0.0,1,0,
26985,4650000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/topcider/5ece659a2731715a6334c8e3,prodaja,kuce,Beograd,Savski Venac,6.0,1150.0,etažno grejanje,,5,2008.0,0,1,27.0,1,0,
27135,4500000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/uzicka/5f104ca63f227c333d73028d,prodaja,kuce,Beograd,Savski Venac,1.0,850.0,etažno grejanje,,1,,0,1,29.0,1,0,
27239,4500000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/bulevar-kneza-aleksandra-karadjordjevica/5fa9524b9a30914bbc335036,prodaja,kuce,Beograd,Savski Venac,5.0,875.0,etažno grejanje,,1,2010.0,0,1,18.0,1,0,
27218,4000000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/dedinje/61a0f8326782b936ca2bd110,prodaja,kuce,Beograd,Savski Venac,11.0,1335.0,,,8,,0,1,0.0,1,1,
27285,4000000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/uzicka/61f3bf942f20813eca79e5b0,prodaja,kuce,Beograd,Savski Venac,20.0,1338.0,,,1,,0,0,10.0,1,0,
26978,3900000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/vajara-djoke-jovanovica/5ec6a67427317106d24a2c25,prodaja,kuce,Beograd,Savski Venac,6.0,900.0,etažno grejanje,,6,2006.0,0,1,10.9,1,0,
27288,3900000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/dedinje/61c4a72eee29af23d4234a73,prodaja,kuce,Beograd,Savski Venac,10.0,850.0,etažno grejanje,,1,,0,1,10.5,1,0,
27246,3800000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/dedinje/61b6072184d1592c4457b963,prodaja,kuce,Beograd,Savski Venac,7.0,300.0,grejanje na gas,,5,,0,1,12.0,1,1,
