id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking,state
29342,55000.0,https://www.4zida.rs/prodaja/kuce/boljevac/oglas/mali-izvor/615edb6bb8a1d525724d6be3,prodaja,kuce,Boljevac,Boljevac,10.0,146253.0,,,1,,0,0,1463.0,1,1,
31009,70000.0,https://www.4zida.rs/prodaja/kuce/merosina/oglas/merosina/60f8b1e464e08f28237217b9,prodaja,kuce,Merošina,Merošina,4.0,36000.0,,,7,,0,0,0.0,1,0,
28977,70000.0,https://www.4zida.rs/prodaja/kuce/merosina/oglas/merosina/60f8a83a8602875a85190839,prodaja,kuce,Merošina,Merošina,4.0,36000.0,,,7,,0,0,0.0,1,0,
29674,70000.0,https://www.4zida.rs/prodaja/kuce/merosina/oglas/merosina/60f8b665ccec3565d11330c9,prodaja,kuce,Merošina,Merošina,4.0,36000.0,,,7,,0,0,0.0,1,0,
22611,187000.0,https://www.4zida.rs/prodaja/kuce/backa-palanka/oglas/gradske-lokacije/5fb63bf9376a6713f42e4bac,prodaja,kuce,Bačka Palanka,Bačka Palanka,1.0,25288.0,,,1,,0,0,0.0,1,0,
22566,99900.0,https://www.4zida.rs/prodaja/kuce/backa-palanka/oglas/gradske-lokacije/5f96bcea2f05c57b5b35a687,prodaja,kuce,Bačka Palanka,Bačka Palanka,4.0,11206.0,,,1,1998.0,0,1,0.0,1,0,
30668,30000.0,https://www.4zida.rs/prodaja/kuce/sokobanja/oglas/gradske-lokacije/6153400de3091d5223521325,prodaja,kuce,Sokobanja,Sokobanja,3.0,8349.0,kaljeva peć,,2,2000.0,0,1,0.0,1,1,
31307,206000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/cenej/61ca096d6f91b27336519f73,prodaja,kuce,Novi Sad,Okolne lokacije,10.0,6820.0,grejanje na gas,,1,,0,0,68.0,0,0,
24327,370000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/ribnjak/5ee9c91227317154093231bc,prodaja,kuce,Novi Sad,Petrovaradin,3.0,6575.0,,,1,,0,0,0.0,1,0,
29392,20000.0,https://www.4zida.rs/prodaja/kuce/paracin/oglas/karadjordjevo-brdo/60a2c5cd2503dd750f298903,prodaja,kuce,Paraćin,Gradske lokacije,3.0,4824.0,centralno grejanje,,1,,0,0,0.0,1,0,
46634,36000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/glavica/5ee9c94e27317154093231e3,prodaja,kuce,Novi Sad,Sremska Kamenica,3.0,4441.0,,,1,,0,0,0.0,0,0,
26685,196000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/laze-kostica/6159e5012eaec2228c2643e8,prodaja,kuce,Novi Sad,Okolne lokacije,7.0,3585.0,grejanje na gas,,4,1900.0,0,1,2600.0,1,1,
26026,53500.0,https://www.4zida.rs/prodaja/kuce/irig/oglas/gradske-lokacije/61dd67fffe80cf634f3af853,prodaja,kuce,Irig,Irig,3.0,3272.0,,,1,1990.0,0,0,0.0,1,0,
22571,130000.0,https://www.4zida.rs/prodaja/kuce/backa-palanka/oglas/vr-putnika/5caa3ba59a309141ec6d3863,prodaja,kuce,Bačka Palanka,Okolne lokacije,5.0,3200.0,etažno grejanje,,4,1989.0,0,1,3200.0,1,1,
26040,602550.0,https://www.4zida.rs/prodaja/kuce/irig/oglas/krstasice/61f98d64b7c74f25ec6da31b,prodaja,kuce,Irig,Okolne lokacije,4.0,2631.0,podno grejanje,,4,,0,1,2631.0,1,1,
28783,22000.0,https://www.4zida.rs/prodaja/kuce/vranje/oglas/slatina-bb/5b5ad9eab70c594cef3d4972,prodaja,kuce,Vranje,Okolne lokacije,2.0,2500.0,grejanje na struju,,1,,0,1,27.0,1,0,
28801,25000.0,https://www.4zida.rs/prodaja/kuce/kovin/oglas/vuka-karadzica/6172f6aed8b03d4143369659,prodaja,kuce,Kovin,Okolne lokacije,4.0,2300.0,kaljeva peć,,2,1978.0,0,0,23.0,1,0,
42430,300000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/ljubomira-zivkovica-spanca/61e69a9abadc6009802b3cfc,prodaja,kuce,Beograd,Barajevo opština,5.0,2023.0,etažno grejanje,,1,,0,1,23.0,1,1,
46511,320000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/sremska-kamenica/61c9f41d4201ab3d8b558178,prodaja,kuce,Novi Sad,Gradske lokacije,6.0,1937.0,centralno grejanje,,1,1980.0,0,0,0.0,0,0,
46028,166000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/popovica/61321f0876ee4c2479671d73,prodaja,kuce,Novi Sad,Sremska Kamenica,7.0,1800.0,etažno grejanje,,1,2016.0,0,0,0.0,1,0,
47150,175000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/veternik/6176ad193ee08b318c347253,prodaja,kuce,Novi Sad,Gradske lokacije,5.0,1700.0,etažno grejanje,,1,1994.0,0,0,0.0,1,0,
26562,65000.0,https://www.4zida.rs/prodaja/kuce/becej/oglas/salas/5dce8ca6e466e66f49439ae9,prodaja,kuce,Bečej,Okolne lokacije,6.0,1599.0,,,2,,0,1,270.0,1,0,
46296,22000.0,https://www.4zida.rs/prodaja/kuce/beocin/oglas/cerevic/60af8d6033aa2065f670528e,prodaja,kuce,Beočin,Okolne lokacije,1.0,1557.0,,,1,,0,1,0.0,1,0,
46562,61800.0,https://www.4zida.rs/prodaja/kuce/beocin/oglas/cerevic/61b20203388b6030500553c5,prodaja,kuce,Beočin,Okolne lokacije,3.0,1537.0,,,1,,0,1,0.0,1,0,
24558,69010.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/puckaros/5ee9c93927317154093231d7,prodaja,kuce,Novi Sad,Petrovaradin,2.0,1413.0,,,1,,0,0,0.0,1,0,
23672,824000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/petrovaradin/5afc1208b70c597de61d72f7,prodaja,kuce,Novi Sad,Gradske lokacije,5.0,1400.0,centralno grejanje,,1,,0,0,3.0,0,1,
25628,108150.0,https://www.4zida.rs/prodaja/kuce/temerin/oglas/gradske-lokacije/61fabc9d7a40dc6eb80c4a73,prodaja,kuce,Temerin,Temerin,5.0,1400.0,grejanje na gas,,1,,0,1,0.0,1,0,
31047,890000.0,https://www.4zida.rs/prodaja/kuce/jagodina/oglas/stipljanski-put/619847674ea05d33ae3ed858,prodaja,kuce,Jagodina,Gradske lokacije,10.0,1400.0,grejanje na gas,,1,,0,1,0.0,0,0,
27285,4000000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/uzicka/61f3bf942f20813eca79e5b0,prodaja,kuce,Beograd,Savski Venac,20.0,1338.0,,,1,,0,0,10.0,1,0,
27218,4000000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/dedinje/61a0f8326782b936ca2bd110,prodaja,kuce,Beograd,Savski Venac,11.0,1335.0,,,8,,0,1,0.0,1,1,
44045,123600.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/petrovaradin/5f8473706306c73ccf334433,prodaja,kuce,Novi Sad,Gradske lokacije,2.0,1300.0,grejanje na gas,,1,2000.0,0,0,0.0,1,0,
46981,10000.0,https://www.4zida.rs/izdavanje/kuce/nis/oglas/pantelej/5f57a3216751e51d953f09f5,izdavanje,kuce,Niš,Gradske lokacije,10.0,1275.0,,,1,2000.0,0,0,3.0,0,0,
46854,1350000.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/pantelej/5f53926f45071f5734272643,prodaja,kuce,Niš,Gradske lokacije,10.0,1274.0,grejanje na gas,,1,2000.0,0,1,3.0,1,1,
46685,670000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/telep/5ff976d36ea0205a407d72f4,prodaja,kuce,Novi Sad,Gradske lokacije,8.0,1260.0,centralno grejanje,,1,,0,0,0.0,0,0,
322,485000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/kej-oslobodjenja/6139ef3927a08068a565ff13,prodaja,kuce,Beograd,Zemun,7.0,1250.0,etažno grejanje,,1,,0,0,0.0,0,1,
