id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking,state
2369,1411100.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/6117cef9469b5c36b563f84f,prodaja,stanovi,Novi Sad,Stari Grad,5.0,183.0,centralno grejanje,,1,2020,1,1,0.0,1,0,
27171,1380000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/senjak/6021c183d1de6655453313f3,prodaja,stanovi,Beograd,Savski Venac,4.0,290.0,centralno grejanje,,1,2020,1,1,0.0,1,0,
27173,1380000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/senjak/6021b3bbadf8ef730a148218,prodaja,stanovi,Beograd,Savski Venac,4.0,350.0,centralno grejanje,,1,2020,1,1,0.0,1,0,
27175,1080000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/senjak/6021b3bbadf8ef730a14821c,prodaja,stanovi,Beograd,Savski Venac,4.0,261.0,centralno grejanje,,1,2020,1,1,0.0,1,0,
43626,955888.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/belgrade-waterfront-terraces/60b7bd5bf4e3824da1033444,prodaja,stanovi,Beograd,Savski Venac,5.0,203.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
26854,816400.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/senjak/613f53d2f356dd07cf74ae98,prodaja,stanovi,Beograd,Savski Venac,4.0,131.0,,,3,2020,1,1,0.0,1,0,
40766,684500.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/sindjeliceva/5f77177e42ce3f16c427b0f3,prodaja,stanovi,Beograd,Vračar,4.0,185.0,,,3,2020,0,1,0.0,0,0,
2344,618000.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/puckaros/61c0d892820ec075af777131,prodaja,kuce,Novi Sad,Petrovaradin,4.0,270.0,podno grejanje,,3,2020,0,1,0.0,1,0,
40934,600440.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-oslobodjenja/5f58bba326d06f7f19700cb2,prodaja,stanovi,Beograd,Neimar,5.0,177.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
40481,600000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/topolska/61927432eb4c3d587f1b4833,prodaja,stanovi,Beograd,Vračar,3.0,130.0,,,1,2020,1,1,0.0,0,0,
12420,550000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/omladinskih-brigada/6128d88a78acc1394a09f4b0,prodaja,stanovi,Beograd,Novi Beograd,4.0,123.0,centralno grejanje,,1,2020,1,0,0.0,1,0,
43669,490888.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/belgrade-waterfront-aria/61b7642a8f73ac69b86679e4,prodaja,stanovi,Beograd,Savski Venac,4.0,144.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
323,490000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kneza-milosa/617678244d38ea1b514f8345,prodaja,stanovi,Beograd,Savski Venac,3.0,98.0,centralno grejanje,,1,2020,1,1,0.0,1,1,
40843,490000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kneginje-zorke/5f7897e33f25ef61c967bc17,prodaja,stanovi,Beograd,Vračar,4.0,170.0,centralno grejanje,,1,2020,1,1,0.0,1,1,
43031,473220.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/pregrevica/5ed6608e27317121f9437a00,prodaja,stanovi,Beograd,Zemun opština,5.0,239.0,etažno grejanje,,1,2020,1,1,0.0,0,0,
40842,471240.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/pregrevica/5f7335c424b7ec5f03290fb8,prodaja,stanovi,Beograd,Zemun opština,5.0,238.0,,,1,2020,1,1,0.0,0,0,
43649,451888.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/belgrade-waterfront-aqua/61704f5d33ccda75b47feacb,prodaja,stanovi,Beograd,Savski Venac,4.0,123.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
26943,449000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/sredacka/609a56dae6bc07470d338793,prodaja,stanovi,Beograd,Vračar,4.0,130.0,,,3,2020,1,1,0.0,1,0,
7586,445000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/jove-ilica/6113e78ae2034127ed2c6b43,prodaja,stanovi,Beograd,Voždovac,4.0,135.0,,,2,2020,0,0,0.0,1,0,
40678,422940.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-oslobodjenja/5f58bba426d06f7f19700cb5,prodaja,stanovi,Beograd,Neimar,4.0,121.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
347,415000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/tadije-sondermajera/6192a6513859d879a1206a23,prodaja,stanovi,Beograd,Novi Beograd,4.0,106.0,centralno grejanje,,1,2020,1,1,0.0,1,1,
8209,415000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/blok-65/61ce45e7afaa8b073a42f99c,prodaja,stanovi,Beograd,Novi Beograd,3.5,106.0,,,3,2020,1,1,0.0,0,0,
43571,407888.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/belgrade-waterfront-aurora/607ffbf22b2c9a282950feef,prodaja,stanovi,Beograd,Savski Venac,4.0,119.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
24458,406300.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/klisa/6102ebd1d1697361c73f0cbb,prodaja,kuce,Novi Sad,Gradske lokacije,5.0,139.0,grejanje na gas,,2,2020,0,1,597.0,1,0,
28035,400000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/gundulicev-venac/60016f4a9a309167a6324b24,prodaja,stanovi,Beograd,Dorćol,4.0,107.0,centralno grejanje,,3,2020,1,1,0.0,1,0,
40538,399000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-oslobodjenja/5f589f84142a47371e6ef813,prodaja,stanovi,Beograd,Neimar,4.0,114.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
7593,398000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/admirala-vukovica/61a7cb46c133850bd41f57b3,prodaja,stanovi,Beograd,Voždovac opština,4.5,175.0,etažno grejanje,,1,2020,1,1,0.0,1,0,
40030,390000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/sundaciceva/605b24b21bc25467fa2b7515,prodaja,stanovi,Beograd,Voždovac opština,5.0,150.0,podno grejanje,,2,2020,1,1,0.0,1,1,
43880,381000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/cernisevskog/5ef392ed273171769260be53,prodaja,stanovi,Beograd,Vračar,4.0,127.0,centralno grejanje,,1,2020,1,1,0.0,1,0,
