id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking,state
7254,75000.0,https://www.4zida.rs/prodaja/kuce/cacak/oglas/rakova/61afb8016d4cd4116e1b1b14,prodaja,kuce,Čačak,Okolne lokacije,6.0,213.0,grejanje na struju,,2,,0,0,38000.0,1,0,
23525,268830.0,https://www.4zida.rs/prodaja/kuce/sombor/oglas/gradske-lokacije/60dadc9cbbbd9e76370a81d8,prodaja,kuce,Sombor,Sombor,5.0,134.0,,,1,,0,0,17922.0,0,0,
21887,206500.0,https://www.4zida.rs/prodaja/kuce/subotica/oglas/palic/605a1032896b64745d618d53,prodaja,kuce,Subotica,Okolne lokacije,3.0,99.0,,,1,,0,0,16520.0,0,0,
2372,463500.0,https://www.4zida.rs/prodaja/kuce/titel/oglas/gradske-lokacije/60e3126b87fc3723a90f4362,prodaja,kuce,Titel,Titel,6.0,724.0,,,1,,0,0,11518.0,1,0,
17693,26000.0,https://www.4zida.rs/prodaja/kuce/vladimirci/oglas/zvezd/61378bf61f778b250d763d51,prodaja,kuce,Vladimirci,Okolne lokacije,7.0,154.0,etažno grejanje,,1,1988.0,0,1,10020.0,1,0,
46965,15.0,https://www.4zida.rs/izdavanje/kuce/fruska-gora/oglas/sunnyside-fruska-gora/5f60ad3a9a3091533b7e6a12,izdavanje,kuce,Fruška Gora,Fruška Gora,2.0,60.0,,,2,,0,1,9200.0,0,1,
24388,230000.0,https://www.4zida.rs/prodaja/kuce/subotica/oglas/bajski-put/608fe4c0e854c961b1708781,prodaja,kuce,Subotica,Gradske lokacije,4.0,247.0,,,2,2007.0,0,1,7500.0,1,0,
26405,84460.0,https://www.4zida.rs/prodaja/kuce/irig/oglas/vrdnik/60e09ff77287b233c34e4262,prodaja,kuce,Irig,Okolne lokacije,2.0,62.0,,,1,,0,0,7117.0,1,0,
30185,51000.0,https://www.4zida.rs/prodaja/kuce/nis/oglas/donja-vrezina/617beec2decc1741d57119a9,prodaja,kuce,Niš,Pantelej,2.0,120.0,,,1,,0,0,7000.0,1,0,
24315,38000.0,https://www.4zida.rs/prodaja/kuce/kula/oglas/ise-sekickog/61275a309f9cfe5de746e96f,prodaja,kuce,Kula,Kula,3.0,112.0,,,2,,0,1,6911.0,1,0,
44626,158000.0,https://www.4zida.rs/prodaja/kuce/beocin/oglas/gradske-lokacije/6178ff806199437cd746e503,prodaja,kuce,Beočin,Beočin,10.0,519.0,grejanje na gas,,1,,0,1,6523.0,1,1,
23527,42000.0,https://www.4zida.rs/prodaja/kuce/sombor/oglas/goge/60e08d5afe880e56f066705f,prodaja,kuce,Sombor,Okolne lokacije,3.0,90.0,kaljeva peć,,2,1980.0,0,1,6502.0,1,0,
22004,115000.0,https://www.4zida.rs/prodaja/kuce/subotica/oglas/zorka/5fea3a05eb92e37a8215e0e9,prodaja,kuce,Subotica,Gradske lokacije,6.0,240.0,,,2,,0,0,5600.0,0,0,
2395,33000.0,https://www.4zida.rs/prodaja/kuce/titel/oglas/vilovo/5e4040c29a30912c9c60f98c,prodaja,kuce,Titel,Okolne lokacije,4.0,800.0,grejanje na gas,,4,2011.0,0,1,5000.0,1,0,
