id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking,state
20534,235000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/rajka-od-rasine/60a27f038a8dfa458b0d4204,prodaja,stanovi,Beograd,Čukarica,3.5,102000.0,grejanje na gas,,1,2020.0,1,0,0.0,1,0,
2077,95180.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/podbara/613f507bcd81b779d3192021,prodaja,stanovi,Novi Sad,Gradske lokacije,2.5,95180.0,,,1,,0,0,0.0,1,0,
17940,41.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/grbavica/61fbf5e23ce83a43d5331b23,prodaja,stanovi,Novi Sad,Gradske lokacije,2.0,88690.0,centralno grejanje,,1,,1,1,0.0,1,0,
17942,42.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/adice/61fbce1199dedc75b3387072,prodaja,stanovi,Novi Sad,Gradske lokacije,2.0,59620.0,,,1,,0,0,0.0,0,0,
35922,52530.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/slobodana-bajica/61fba8b4cbd41765a0490e20,prodaja,stanovi,Novi Sad,Sajmište,1.5,52530.0,centralno grejanje,,1,2014.0,0,1,0.0,1,1,
18914,8000000.0,https://www.4zida.rs/prodaja/stanovi/pirot/oglas/centar/5f44fcd19a3091609039bb30,prodaja,stanovi,Pirot,Gradske lokacije,8.0,8373.0,centralno grejanje,,5,,0,1,0.0,1,1,
46265,91200.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/61fd30731c237869eb7274d0,prodaja,stanovi,Novi Sad,Stari Grad,2.0,3949.0,centralno grejanje,,1,2022.0,1,1,0.0,0,0,
33815,200000.0,https://www.4zida.rs/prodaja/stanovi/secanj/oglas/prvomajska/6128f3ddd6d4255d4f6f5884,prodaja,stanovi,Sečanj,Sečanj,8.0,3500.0,centralno grejanje,,6,1990.0,0,1,0.0,1,1,
37133,170.0,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/beograd-mala/61cc8f1df83af20ef0148712,izdavanje,stanovi,Niš,Crveni Krst,0.5,1650.0,centralno grejanje,,2,,0,0,0.0,0,1,
41931,298000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/veljka-milicevica/60993e8f7906cd3a4c6833dc,prodaja,stanovi,Beograd,Voždovac opština,5.0,1643.0,centralno grejanje,,1,,1,1,0.0,1,0,
27492,1000000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/mokroluska/5c52e02c2731714da0222013,prodaja,stanovi,Beograd,Voždovac opština,8.0,1200.0,etažno grejanje,,1,1997.0,0,0,0.0,0,1,
47339,204480.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/filipa-visnjica/61be17492d1863712a3d9666,prodaja,stanovi,Novi Sad,Gradske lokacije,4.0,1065.0,centralno grejanje,,1,,1,1,0.0,1,1,
2501,1170000.0,https://www.4zida.rs/prodaja/stanovi/kopaonik/oglas/gradske-lokacije/5dce99aa27317121d13ea665,prodaja,stanovi,Kopaonik,Kopaonik,4.0,970.0,centralno grejanje,,1,,0,1,0.0,1,1,
8601,260000.0,https://www.4zida.rs/prodaja/stanovi/nis/oglas/dr-milosa-djorica/5f8eaa1785be5c710271cb87,prodaja,stanovi,Niš,Crveni Krst,8.0,658.0,etažno grejanje,,3,,0,1,0.0,1,0,
8593,260000.0,https://www.4zida.rs/prodaja/stanovi/nis/oglas/dr-milosa-djorica/5f782eea6d020f5a5916a0d3,prodaja,stanovi,Niš,Crveni Krst,8.0,658.0,etažno grejanje,,3,,0,1,0.0,1,0,
21609,659000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-stepe/5f12f846958e79605c51c903,prodaja,stanovi,Beograd,Voždovac opština,5.0,640.0,etažno grejanje,,1,2013.0,1,1,0.0,1,1,
