price,room_number,square_footage,floor,elevator,balcony,registered,distance
298000.0,6.0,191.0,7,1,1,1,1.465
294084.0,3.0,82.0,3,1,1,0,1.454
286236.0,3.0,80.0,3,1,1,0,1.454
283284.0,3.0,79.0,6,1,1,0,1.454
300000.0,2.5,100.0,2,0,1,1,1.379
105000.0,2.5,65.0,2,0,0,1,0.562
107000.0,2.5,62.0,10,1,0,1,0.595
125000.0,2.5,60.0,1,0,1,1,1.352
370000.0,4.0,145.0,3,1,1,1,19.248
386888.0,4.0,121.0,7,1,1,0,2.514
179000.0,4.0,125.0,6,1,1,1,18.984
180000.0,2.5,69.0,0,0,0,1,2.024
153000.0,3.0,70.0,26,1,0,1,1.637
179000.0,3.0,70.0,4,1,1,1,2.189
184990.0,2.5,73.0,1,1,0,1,8.296
151800.0,3.0,69.0,1,0,0,0,1.117
172500.0,2.0,50.0,2,1,1,0,2.336
150000.0,2.5,56.0,6,1,1,1,0.75
170000.0,3.0,55.0,3,0,0,1,0.048
186000.0,3.0,83.0,2,1,1,1,1.937
172000.0,3.0,76.0,6,1,1,1,1.937
64000.0,2.0,32.0,1,0,0,1,2.077
170000.0,3.0,75.0,9,1,0,1,0.603
150000.0,3.5,98.0,6,1,1,1,19.686
178500.0,2.0,75.0,2,1,1,1,3.38
189000.0,3.0,76.0,2,1,1,1,2.213
166000.0,3.0,78.0,2,1,1,1,1.314
162400.0,2.0,58.0,6,1,0,1,2.37
165830.0,4.0,87.0,0,1,1,0,2.268
163810.0,4.0,86.0,4,1,1,0,2.268
155000.0,3.0,75.0,3,1,1,0,2.166
183000.0,3.0,83.0,4,1,1,0,1.937
163050.0,3.0,86.0,4,1,1,0,2.268
160000.0,3.0,85.0,3,0,1,0,8.621
140000.0,3.5,77.0,0,1,0,1,1.937
160000.0,3.0,67.0,0,1,1,1,1.495
190000.0,4.5,90.0,3,1,1,0,1.994
158000.0,3.0,81.0,0,1,1,1,2.166
183600.0,3.0,68.0,3,0,1,0,1.296
90000.0,2.0,53.0,0,0,0,1,2.494
78900.0,1.0,40.0,3,0,0,1,19.686
156500.0,2.5,57.0,2,1,1,1,1.674
90000.0,2.5,60.0,3,0,0,1,1.856
145000.0,3.0,85.0,0,1,1,1,1.378
193000.0,3.5,110.0,3,1,1,1,9.227
170000.0,4.0,106.0,2,0,1,1,1.128
190000.0,4.0,80.0,3,0,1,1,1.947
112000.0,4.0,56.0,0,0,1,0,2.431
142800.0,4.0,71.0,1,0,1,1,2.004
148918.0,4.0,86.0,3,1,1,0,2.268
